PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT
1628970,Miles Bridges,CHA,27.0,116.6,116.6,0.563,0.228
1642939,Miles Kelly,DAL,23.0,98.4,105.5,0.518,0.143
1630540,Miles McBride,NYK,25.0,121.2,111.0,0.592,0.17
1629011,Mitchell Robinson,NYK,27.0,119.5,111.1,0.629,0.089
1628964,Mo Bamba,TOR,27.0,50.0,133.3,0.0,0.118
1642885,Mohamed Diawara,NYK,20.0,108.2,109.3,0.528,0.172
1628420,Monte Morris,IND,30.0,83.3,104.2,0.414,0.141
1629021,Moritz Wagner,ORL,28.0,97.7,127.2,0.575,0.273
1630541,Moses Moody,GSW,23.0,112.5,107.8,0.589,0.169
1631243,Mouhamed Gueye,ATL,23.0,111.1,110.5,0.513,0.132
1630619,Moussa Cisse,DAL,23.0,111.3,111.6,0.61,0.13
1631217,Moussa Diabaté,CHA,24.0,119.9,112.0,0.662,0.118
1626167,Myles Turner,MIL,29.0,112.7,114.8,0.584,0.181
1642066,Myron Gardner,MIA,24.0,111.1,101.8,0.592,0.143
1642368,N'Faly Dante,ATL,24.0,109.1,86.7,0.338,0.119
1641772,Nae'Qwan Tomlin,CLE,25.0,112.3,109.7,0.558,0.152
1630230,Naji Marshall,DAL,28.0,109.6,111.7,0.625,0.182
1629675,Naz Reid,MIN,26.0,114.2,110.2,0.597,0.213
1629674,Neemias Queta,BOS,26.0,117.5,106.2,0.65,0.15
1629651,Nic Claxton,BKN,26.0,110.1,119.8,0.599,0.171
1630208,Nick Richards,PHX,28.0,106.5,117.0,0.534,0.171
1641733,Nick Smith Jr.,LAL,21.0,111.3,114.8,0.539,0.204
1629638,Nickeil Alexander-Walker,ATL,27.0,112.7,114.5,0.585,0.238
201587,Nicolas Batum,LAC,37.0,113.9,113.7,0.587,0.096
1628502,Nigel Hayes-Davis,PHX,31.0,95.1,112.8,0.356,0.116
203999,Nikola Jokić,DEN,30.0,127.9,115.9,0.717,0.292
1631107,Nikola Jović,MIA,22.0,109.7,108.1,0.491,0.205
202696,Nikola Vučević,CHI,35.0,113.2,117.5,0.585,0.215
1642363,Nique Clifford,SAC,23.0,109.8,114.8,0.485,0.145
1642855,Noa Essengue,CHI,19.0,60.0,171.4,0.0,0.188
1641730,Noah Clowney,BKN,21.0,112.9,116.9,0.548,0.207
1642869,Noah Penda,ORL,21.0,111.5,112.8,0.53,0.156
1642849,Nolan Traore,BKN,19.0,106.9,117.3,0.459,0.175
1626181,Norman Powell,MIA,32.0,115.2,112.7,0.612,0.263
1628384,OG Anunoby,NYK,28.0,118.6,111.0,0.602,0.198
1630167,Obi Toppin,IND,27.0,111.9,118.4,0.526,0.232
1630534,Ochai Agbaji,TOR,25.0,109.4,108.0,0.495,0.13
1641765,Olivier-Maxence Prosper,MEM,23.0,108.2,115.0,0.625,0.154
1630168,Onyeka Okongwu,ATL,25.0,109.8,114.0,0.59,0.199
1631115,Orlando Robinson,ORL,25.0,122.4,144.9,0.7,0.081
1631131,Oscar Tshiebwe,UTA,26.0,116.1,125.8,0.225,0.108
1642345,Oso Ighodaro,PHX,23.0,112.6,105.9,0.61,0.117
1631172,Ousmane Dieng,OKC,22.0,110.2,103.8,0.547,0.148
1629023,P.J. Washington,DAL,27.0,104.4,111.5,0.524,0.204
1641790,PJ Hall,CHA,23.0,111.4,111.0,0.653,0.168
1642359,Pacôme Dadiet,NYK,20.0,99.2,101.7,0.372,0.075
1631094,Paolo Banchero,ORL,23.0,113.3,116.0,0.565,0.268
1627783,Pascal Siakam,IND,31.0,111.2,115.5,0.565,0.281
1626192,Pat Connaughton,CHA,33.0,104.4,104.1,0.621,0.144
1630311,Pat Spencer,GSW,29.0,109.0,109.1,0.496,0.183
1631116,Patrick Baldwin Jr.,LAC,23.0,104.0,92.3,1.025,0.231
1630172,Patrick Williams,CHI,24.0,105.6,117.0,0.502,0.162
202331,Paul George,PHI,35.0,115.8,110.1,0.556,0.218
1630194,Paul Reed,DET,26.0,110.6,102.5,0.619,0.184
1630202,Payton Pritchard,BOS,28.0,120.2,114.6,0.572,0.204
1641796,Pelle Larsson,MIA,24.0,113.7,112.2,0.598,0.159
1631250,Pete Nance,MIL,25.0,107.0,100.7,0.67,0.159
1631212,Peyton Watson,DEN,23.0,124.0,118.0,0.607,0.2
1630173,Precious Achiuwa,SAC,26.0,108.4,118.2,0.537,0.15
1629656,Quentin Grimes,PHI,25.0,112.7,111.9,0.592,0.175
1631245,Quenton Jackson,IND,27.0,106.0,104.6,0.568,0.197
1642366,Quinten Post,GSW,25.0,112.6,108.6,0.561,0.181
1629628,RJ Barrett,TOR,25.0,115.8,113.2,0.577,0.254
1642853,Rasheer Fleming,PHX,21.0,100.0,108.9,0.432,0.178
1642484,RayJ Dennis,ATL,24.0,95.1,105.4,0.416,0.2
1641712,Rayan Rupert,POR,21.0,101.2,110.6,0.427,0.124
1642263,Reed Sheppard,HOU,21.0,115.7,109.7,0.549,0.205
1642434,Riley Minix,SAS,25.0,147.6,85.7,0.75,0.222
1642265,Rob Dillingham,MIN,21.0,100.6,108.4,0.404,0.228
1629057,Robert Williams III,POR,28.0,110.3,111.6,0.762,0.114
1631199,Ron Harper Jr.,BOS,25.0,108.1,105.6,0.406,0.189
1641842,Ronald Holland II,DET,20.0,109.3,101.4,0.504,0.183
1626220,Royce O'Neale,PHX,32.0,112.5,114.1,0.594,0.142
203497,Rudy Gobert,MIN,33.0,114.5,107.6,0.674,0.122
1629060,Rui Hachimura,LAL,27.0,117.0,116.5,0.608,0.152
201566,Russell Westbrook,SAC,37.0,109.4,121.5,0.535,0.249
1642346,Ryan Dunn,PHX,23.0,112.7,109.3,0.515,0.142
1641750,Ryan Kalkbrenner,CHA,24.0,109.9,114.6,0.77,0.116
1642948,Ryan Nembhard,DAL,22.0,110.3,113.7,0.515,0.178
1631157,Ryan Rollins,MIL,23.0,113.9,115.4,0.57,0.227
1630180,Saddiq Bey,NOP,26.0,112.7,117.5,0.57,0.2
1630573,Sam Hauser,BOS,28.0,119.0,112.8,0.588,0.147
1630241,Sam Merrill,CLE,29.0,118.7,111.0,0.675,0.174
1630572,Sandro Mamukelashvili,TOR,26.0,113.1,109.5,0.634,0.177
1630583,Santi Aldama,MEM,25.0,112.6,115.7,0.573,0.19
1630567,Scottie Barnes,TOR,24.0,112.7,109.8,0.574,0.233
203552,Seth Curry,GSW,35.0,112.5,107.1,0.778,0.11
1631101,Shaedon Sharpe,POR,22.0,111.8,113.5,0.55,0.296
1628983,Shai Gilgeous-Alexander,OKC,27.0,121.5,106.3,0.675,0.321
1630536,Sharife Cooper,WAS,24.0,97.8,109.8,0.46,0.144
1631321,Sidy Cissoko,POR,21.0,109.6,111.8,0.543,0.126
1631323,Simone Fontecchio,MIA,30.0,110.0,108.6,0.563,0.187
1642883,Sion James,CHA,23.0,111.7,113.0,0.536,0.106
1627746,Skal Labissiere,WAS,29.0,103.3,104.8,0.722,0.132
1642461,Spencer Jones,DEN,24.0,117.1,116.7,0.644,0.098
1630649,Stanley Umude,SAS,26.0,50.0,200.0,0.0,0.0
201939,Stephen Curry,GSW,37.0,118.0,115.8,0.636,0.311
1642264,Stephon Castle,SAS,21.0,113.2,108.2,0.553,0.247
203500,Steven Adams,HOU,32.0,117.3,105.5,0.535,0.116
1629004,Svi Mykhailiuk,UTA,28.0,113.4,118.3,0.6,0.132
204456,T.J. McConnell,IND,33.0,106.2,112.7,0.556,0.236
1643007,Taelon Peter,IND,23.0,97.7,100.3,0.446,0.152
1631106,Tari Eason,HOU,24.0,117.4,111.1,0.578,0.192
1627752,Taurean Prince,MIL,31.0,113.6,109.4,0.623,0.108
1641707,Taylor Hendricks,UTA,22.0,105.1,122.8,0.574,0.132
1629611,Terance Mann,BKN,29.0,111.4,119.5,0.559,0.134
1630545,Terrence Shannon Jr.,MIN,25.0,106.9,122.0,0.538,0.152
203648,Thanasis Antetokounmpo,MIL,33.0,110.7,84.0,0.612,0.176
1628418,Thomas Bryant,CLE,28.0,109.8,108.4,0.643,0.171
1642275,Tidjane Salaün,CHA,20.0,115.1,110.3,0.642,0.147
203501,Tim Hardaway Jr.,DEN,33.0,120.9,115.8,0.623,0.181
202699,Tobias Harris,DET,33.0,116.0,110.7,0.576,0.184
1642449,Tolu Smith,DET,25.0,103.5,98.3,0.602,0.193
1628396,Tony Bradley,IND,28.0,105.1,116.7,0.604,0.136
1641787,Tosan Evbuomwan,NYK,24.0,50.0,100.0,0.0,0.048
1641739,Toumani Camara,POR,25.0,112.7,114.4,0.564,0.159
1629027,Trae Young,WAS,27.0,119.4,126.2,0.577,0.268
1631218,Trayce Jackson-Davis,GSW,25.0,106.8,112.8,0.601,0.137
1642848,Tre Johnson,WAS,19.0,110.7,117.1,0.576,0.206
1630200,Tre Jones,CHI,26.0,113.4,115.3,0.648,0.166
1630544,Tre Mann,CHA,24.0,110.1,121.8,0.478,0.232
1630570,Trendon Watford,PHI,25.0,112.2,115.1,0.572,0.155
1642280,Trentyn Flowers,CHI,20.0,81.8,100.0,0.667,0.25
1641725,Trey Alexander,NOP,22.0,117.6,119.0,0.778,0.104
1641998,Trey Jemison III,NYK,26.0,103.6,112.9,1.017,0.063
1630530,Trey Murphy III,NOP,25.0,111.9,117.9,0.606,0.221
1642400,Tristan Enaruna,CLE,24.0,140.0,83.3,1.0,0.143
1641774,Tristan Vukcevic,WAS,22.0,101.5,118.1,0.557,0.253
1641783,Tristan da Silva,ORL,24.0,110.3,112.4,0.553,0.165
1629660,Ty Jerome,MEM,28.0,129.3,131.0,0.703,0.316
1631102,TyTy Washington Jr.,LAC,24.0,124.4,131.8,0.778,0.191
1629639,Tyler Herro,MIA,26.0,106.4,110.9,0.605,0.247
1642278,Tyler Kolek,NYK,24.0,111.2,105.8,0.522,0.177
1631213,Tyrese Martin,BKN,26.0,106.3,118.4,0.507,0.181
1630178,Tyrese Maxey,PHI,25.0,115.9,113.5,0.6,0.281
1642878,Tyrese Proctor,CLE,21.0,109.7,114.4,0.529,0.205
1630623,Tyson Etienne,BKN,26.0,115.3,88.9,0.4,0.186
1626145,Tyus Jones,ORL,29.0,107.6,114.2,0.451,0.096
1642845,VJ Edgecombe,PHI,20.0,115.1,112.8,0.531,0.185
1641705,Victor Wembanyama,SAS,22.0,116.5,105.1,0.618,0.32
1631246,Vince Williams Jr.,MEM,25.0,109.0,108.5,0.478,0.193
1642884,Vladislav Goldin,MIA,24.0,126.3,130.0,1.0,0.087
1630249,Vít Krejčí,POR,25.0,109.9,111.5,0.639,0.141
1631117,Walker Kessler,UTA,24.0,118.8,114.0,0.786,0.167
1642383,Walter Clayton Jr.,UTA,22.0,112.2,119.4,0.54,0.168
1628976,Wendell Carter Jr.,ORL,26.0,113.2,112.3,0.613,0.155
1631111,Wendell Moore Jr.,DET,24.0,130.0,92.4,0.5,0.073
1642954,Will Richard,GSW,23.0,111.6,110.1,0.61,0.133
1642860,Will Riley,WAS,19.0,101.9,116.8,0.512,0.177
1630214,Xavier Tillman,BOS,27.0,112.2,121.7,0.517,0.132
1642905,Yang Hansen,POR,20.0,99.2,107.6,0.393,0.184
1642949,Yanic Konan Niederhäuser,LAC,22.0,116.8,111.7,0.668,0.157
1642530,Yuki Kawamura,CHI,24.0,102.3,105.7,0.615,0.107
1642274,Yves Missi,NOP,21.0,112.5,113.4,0.551,0.122
1642258,Zaccharie Risacher,ATL,20.0,113.9,113.2,0.56,0.177
1628380,Zach Collins,CHI,28.0,115.0,111.6,0.666,0.177
1641744,Zach Edey,MEM,23.0,112.8,94.5,0.669,0.2
203897,Zach LaVine,SAC,30.0,109.4,121.6,0.618,0.237
1630192,Zeke Nnaji,DEN,25.0,108.0,115.1,0.587,0.14
1630533,Ziaire Williams,BKN,24.0,105.5,115.4,0.567,0.172
1629627,Zion Williamson,NOP,25.0,110.6,116.6,0.622,0.262
